0,0,13,0
13,0,13,4
0,9,0,0
13,4,14,4
14,4,14,0
14,0,27,0
27,9,27,0
5,2,2,2
2,4,2,2
2,4,5,4
5,2,5,4
7,2,7,4
7,4,11,4
7,2,11,2
11,2,11,4
2,6,5,6
2,7,2,6
5,6,5,7
20,2,16,2
16,2,16,4
16,4,20,4
20,4,20,2
22,2,25,2
25,4,25,2
22,4,22,2
22,4,25,4
7,6,8,6
7,6,7,13
8,6,8,9
10,6,17,6
17,7,17,6
10,7,10,6
2,7,5,7
10,7,13,7
13,7,13,10
14,7,17,7
14,7,14,10
19,6,20,6
20,6,20,13
16,9,19,9
19,9,19,6
16,9,16,10
16,10,19,10
8,9,11,9
11,9,11,10
11,10,8,10
0,9,5,9
22,6,25,6
25,6,25,7
25,7,22,7
22,7,22,6
27,9,22,9
5,19,5,15
5,15,0,15
5,13,5,9
5,13,0,13
8,10,8,13
8,13,7,13
19,13,19,10
20,13,19,13
22,13,22,9
22,13,27,13
22,15,27,15
22,19,22,15
10,12,12,12
15,12,17,12
5,19,0,19
22,19,27,19
10,12,10,16
7,15,8,15
8,19,8,15
7,15,7,19
7,19,8,19
19,15,20,15
20,15,20,19
20,19,19,19
19,19,19,15
0,24,0,19
2,21,5,21
5,25,5,21
2,21,2,22
2,22,4,22
4,25,4,22
0,24,2,24
2,25,2,24
2,25,0,25
11,21,7,21
7,21,7,22
7,22,11,22
11,22,11,21
25,24,27,24
27,24,27,19
25,24,25,25
25,25,27,25
22,21,25,21
25,21,25,22
22,21,22,25
22,25,23,25
23,25,23,22
23,22,25,22
10,18,17,18
17,18,17,19
10,18,10,19
10,19,13,19
14,19,17,19
13,19,13,22
14,19,14,22
13,22,14,22
16,21,20,21
20,21,20,22
20,22,16,22
16,22,16,21
4,25,5,25
10,24,17,24
17,24,17,25
14,25,17,25
10,24,10,25
10,25,13,25
0,25,0,30
0,30,27,30
27,30,27,25
2,27,7,27
7,24,7,27
7,24,8,24
8,24,8,27
2,27,2,28
8,27,11,27
2,28,11,28
11,27,11,28
13,25,13,28
13,28,14,28
14,28,14,25
25,27,20,27
20,27,20,24
20,24,19,24
19,24,19,27
19,27,16,27
16,27,16,28
16,28,25,28
25,28,25,27
17,12,17,16
17,16,10,16
13,10,14,10
